233,planner,server.plugin.DTCRadioPlugin,TRUE
234,monitoring,server.plugin.DTCRadioPlugin,TRUE
235,controller,server.plugin.DTCRadioPlugin,TRUE
236,admin,server.plugin.asset.malloyasset,TRUE
237,planner,server.plugin.asset.malloyasset,TRUE
238,monitoring,server.plugin.asset.malloyasset,TRUE
239,controller,server.plugin.asset.malloyasset,TRUE
240,admin,server.plugin.asset.MapleAssetPlugin,TRUE
241,planner,server.plugin.asset.MapleAssetPlugin,TRUE
242,monitoring,server.plugin.asset.MapleAssetPlugin,TRUE
243,controller,server.plugin.asset.MapleAssetPlugin,TRUE
244,admin,server.plugin.MapleMockService,TRUE
245,planner,server.plugin.MapleMockService,TRUE
246,monitoring,server.plugin.MapleMockService,TRUE
247,controller,server.plugin.MapleMockService,TRUE
248,admin,server.plugin.payload.MaplePayload,TRUE
249,planner,server.plugin.payload.MaplePayload,TRUE
250,monitoring,server.plugin.payload.MaplePayload,TRUE
251,controller,server.plugin.payload.MaplePayload,TRUE
252,admin,server.plugin.MaplePlugin,TRUE
253,planner,server.plugin.MaplePlugin,TRUE
254,monitoring,server.plugin.MaplePlugin,TRUE
255,controller,server.plugin.MaplePlugin,TRUE
256,admin,server.plugin.SystemTrackReceiverPlugin,TRUE
257,planner,server.plugin.SystemTrackReceiverPlugin,TRUE
258,monitoring,server.plugin.SystemTrackReceiverPlugin,TRUE
259,controller,server.plugin.SystemTrackReceiverPlugin,TRUE
260,admin,server.plugin.asset.ArenaDirectAsset,TRUE
261,planner,server.plugin.asset.ArenaDirectAsset,TRUE
262,monitoring,server.plugin.asset.ArenaDirectAsset,TRUE
263,controller,server.plugin.asset.ArenaDirectAsset,TRUE
264,admin,server.plugin.asset.MavlinkAssetPlugin,TRUE
265,planner,server.plugin.asset.MavlinkAssetPlugin,TRUE
266,monitoring,server.plugin.asset.MavlinkAssetPlugin,TRUE
267,controller,server.plugin.asset.MavlinkAssetPlugin,TRUE
268,admin,server.plugin.OARISSensorTrackReceiver,TRUE
269,planner,server.plugin.OARISSensorTrackReceiver,TRUE
270,monitoring,server.plugin.OARISSensorTrackReceiver,TRUE
271,controller,server.plugin.OARISSensorTrackReceiver,TRUE
272,admin,server.payload.PhobosDetectionPayload,TRUE
273,planner,server.payload.PhobosDetectionPayload,TRUE
274,monitoring,server.payload.PhobosDetectionPayload,TRUE
275,controller,server.payload.PhobosDetectionPayload,TRUE
276,admin,server.plugin.CMSGatewayServerPlugin,TRUE
277,planner,server.plugin.CMSGatewayServerPlugin,TRUE
